Date,Region,NonDetect,Low,Moderate,High,VeryHigh,InvalidOrMissing
2022-06-02,Franks Tract,75,0,0,0,0,91
2022-06-02,Mildred Island,16,0,0,0,0,26
2022-06-02,Clifton Court Forebay,37,0,0,0,0,72
2022-06-03,Franks Tract,98,0,0,0,0,68
2022-06-03,Mildred Island,18,0,0,0,0,24
2022-06-03,Clifton Court Forebay,82,0,0,0,0,27
2022-06-06,Franks Tract,103,0,0,0,0,63
2022-06-06,Mildred Island,11,0,0,0,0,31
2022-06-06,Liberty Island,79,1,3,6,0,55
2022-06-07,Clifton Court Forebay,59,0,0,0,0,50
2022-06-10,Franks Tract,129,0,0,0,0,37
2022-06-10,Mildred Island,24,0,0,0,0,18
2022-06-10,Clifton Court Forebay,80,0,0,0,0,29
2022-06-10,Liberty Island,117,0,0,0,0,27
2022-06-11,Franks Tract,129,0,0,0,0,37
2022-06-11,Mildred Island,22,0,0,0,0,20
2022-06-11,Clifton Court Forebay,82,0,0,0,0,27
2022-06-11,Liberty Island,117,0,0,0,0,27
2022-06-14,Franks Tract,131,0,2,0,0,33
2022-06-14,Mildred Island,19,0,0,0,0,23
2022-06-14,Clifton Court Forebay,62,7,12,4,0,24
2022-06-14,Liberty Island,123,0,0,1,0,20
2022-06-15,Franks Tract,121,0,0,0,0,45
2022-06-15,Mildred Island,18,0,0,0,0,24
2022-06-15,Clifton Court Forebay,52,3,15,5,0,34
2022-06-15,Liberty Island,116,0,0,0,0,28
2022-06-18,Franks Tract,126,0,0,0,0,40
2022-06-18,Mildred Island,25,0,0,0,0,17
2022-06-18,Clifton Court Forebay,70,2,8,5,0,24
2022-06-18,Liberty Island,106,0,0,0,0,38
2022-06-19,Franks Tract,108,0,0,0,0,58
2022-06-19,Mildred Island,15,0,0,0,0,27
2022-06-19,Clifton Court Forebay,65,0,13,6,0,25
2022-06-19,Liberty Island,93,0,0,0,0,51
2022-06-22,Liberty Island,96,0,0,0,0,48
2022-06-23,Franks Tract,87,0,0,0,0,79
2022-06-23,Clifton Court Forebay,58,0,0,0,0,51
2022-06-23,Liberty Island,94,0,0,0,0,50
2022-06-26,Franks Tract,133,0,0,0,0,33
2022-06-26,Mildred Island,24,0,0,0,0,18
2022-06-26,Clifton Court Forebay,78,0,1,2,0,28
2022-06-26,Liberty Island,120,0,0,0,0,24
2022-06-27,Franks Tract,104,0,0,2,0,60
2022-06-27,Clifton Court Forebay,68,0,0,3,0,38
2022-06-27,Liberty Island,114,0,0,0,0,30
2022-06-29,Franks Tract,71,0,0,0,0,95
2022-06-30,Franks Tract,131,0,0,0,0,35
2022-06-30,Mildred Island,21,0,0,0,0,21
2022-06-30,Clifton Court Forebay,80,0,4,1,0,24
2022-06-30,Liberty Island,113,0,0,0,0,31
2022-07-01,Franks Tract,89,0,0,0,0,77
2022-07-01,Clifton Court Forebay,67,2,2,7,0,31
2022-07-01,Liberty Island,95,0,0,0,0,49
2022-07-04,Franks Tract,126,0,0,0,0,40
2022-07-04,Mildred Island,18,0,0,0,0,24
2022-07-04,Clifton Court Forebay,85,1,1,0,0,22
2022-07-07,Franks Tract,112,0,3,9,0,42
2022-07-07,Mildred Island,26,0,0,0,0,16
2022-07-07,Clifton Court Forebay,75,2,2,1,0,29
2022-07-07,Liberty Island,106,0,1,0,0,37
2022-07-08,Franks Tract,129,1,0,0,0,36
2022-07-08,Mildred Island,18,0,0,0,0,24
2022-07-08,Clifton Court Forebay,77,0,0,0,0,32
2022-07-08,Liberty Island,119,0,0,0,0,25
2022-07-11,Franks Tract,112,0,5,14,0,35
2022-07-11,Mildred Island,21,0,0,0,0,21
2022-07-11,Clifton Court Forebay,77,1,0,0,0,31
2022-07-11,Liberty Island,116,0,0,0,0,28
2022-07-12,Franks Tract,90,0,9,13,0,54
2022-07-12,Mildred Island,15,0,0,0,0,27
2022-07-12,Clifton Court Forebay,77,0,0,0,0,32
2022-07-12,Liberty Island,116,0,0,0,0,28
2022-07-15,Franks Tract,90,1,8,34,1,32
2022-07-15,Mildred Island,25,0,0,0,0,17
2022-07-15,Clifton Court Forebay,82,0,1,2,0,24
2022-07-15,Liberty Island,111,0,0,0,0,33
2022-07-16,Franks Tract,75,0,4,29,4,54
2022-07-16,Mildred Island,18,0,0,0,0,24
2022-07-16,Clifton Court Forebay,69,1,0,0,0,39
2022-07-16,Liberty Island,101,0,0,0,0,43
2022-07-19,Franks Tract,62,2,5,49,12,36
2022-07-19,Mildred Island,18,0,0,0,0,24
2022-07-19,Clifton Court Forebay,76,0,1,1,0,31
2022-07-19,Liberty Island,101,0,0,0,0,43
2022-07-20,Franks Tract,56,0,5,45,17,43
2022-07-20,Clifton Court Forebay,71,0,3,2,0,33
2022-07-20,Liberty Island,92,0,0,0,0,52
2022-07-23,Franks Tract,69,0,1,40,36,20
2022-07-23,Mildred Island,19,0,0,0,0,23
2022-07-23,Clifton Court Forebay,60,5,13,6,0,25
2022-07-23,Liberty Island,116,0,0,0,0,28
2022-07-24,Franks Tract,62,0,0,44,30,30
2022-07-24,Clifton Court Forebay,40,2,17,12,0,38
2022-07-24,Liberty Island,125,0,0,0,0,19
2022-07-26,Franks Tract,34,0,0,56,22,54
2022-07-26,Clifton Court Forebay,36,1,2,23,1,46
2022-07-26,Liberty Island,89,0,0,11,1,43
2022-07-27,Franks Tract,63,0,3,45,16,39
2022-07-27,Mildred Island,14,0,0,0,0,28
2022-07-27,Clifton Court Forebay,13,3,17,48,2,26
2022-07-27,Liberty Island,111,0,0,0,0,33
2022-07-28,Franks Tract,20,0,0,31,16,99
2022-07-28,Clifton Court Forebay,0,0,0,21,9,79
2022-07-30,Franks Tract,37,0,0,42,17,70
2022-07-30,Mildred Island,20,0,0,0,0,22
2022-07-30,Clifton Court Forebay,0,0,1,78,2,28
2022-07-30,Liberty Island,77,0,1,4,0,62
2022-07-31,Clifton Court Forebay,2,0,0,28,50,29
2022-07-31,Liberty Island,56,0,0,0,0,88
2022-08-03,Franks Tract,59,0,4,47,15,41
2022-08-03,Mildred Island,31,0,0,0,0,11
2022-08-03,Clifton Court Forebay,2,0,3,31,50,23
2022-08-03,Liberty Island,99,0,0,0,0,45
2022-08-04,Franks Tract,60,0,0,39,21,46
2022-08-04,Mildred Island,21,0,0,0,0,21
2022-08-04,Clifton Court Forebay,7,0,1,19,59,23
2022-08-04,Liberty Island,79,0,1,0,0,64
2022-08-07,Franks Tract,86,0,6,42,14,18
2022-08-07,Mildred Island,23,0,0,0,0,19
2022-08-07,Clifton Court Forebay,12,0,2,22,56,17
2022-08-07,Liberty Island,108,0,0,1,0,35
2022-08-08,Franks Tract,82,0,0,42,13,29
2022-08-08,Mildred Island,15,0,0,0,0,27
2022-08-08,Clifton Court Forebay,1,0,0,35,38,35
2022-08-08,Liberty Island,96,0,0,0,0,48
2022-08-11,Franks Tract,85,0,1,41,21,18
2022-08-11,Mildred Island,26,0,0,0,0,16
2022-08-11,Clifton Court Forebay,10,0,0,39,44,16
2022-08-11,Liberty Island,113,0,0,0,0,31
2022-08-12,Franks Tract,75,0,0,38,22,31
2022-08-12,Mildred Island,12,0,0,0,0,30
2022-08-12,Clifton Court Forebay,4,0,0,42,38,25
2022-08-12,Liberty Island,114,0,0,0,0,30
2022-08-15,Franks Tract,69,0,0,69,0,28
2022-08-15,Mildred Island,19,0,0,0,0,23
2022-08-15,Clifton Court Forebay,9,0,3,30,44,23
2022-08-15,Liberty Island,109,0,0,0,0,35
2022-08-16,Franks Tract,53,0,0,70,0,43
2022-08-16,Clifton Court Forebay,10,2,0,29,47,21
2022-08-16,Liberty Island,90,0,0,0,0,54
2022-08-18,Liberty Island,67,0,2,4,0,71
2022-08-19,Franks Tract,94,0,1,41,0,30
2022-08-19,Mildred Island,21,0,0,0,0,21
2022-08-19,Clifton Court Forebay,17,0,3,50,18,21
2022-08-19,Liberty Island,103,0,0,0,0,41
2022-08-20,Franks Tract,71,0,0,54,2,39
2022-08-20,Clifton Court Forebay,22,0,0,38,15,34
2022-08-20,Liberty Island,91,0,0,0,0,53
2022-08-22,Franks Tract,76,0,6,52,3,29
2022-08-22,Mildred Island,23,0,0,0,0,19
2022-08-22,Clifton Court Forebay,20,1,4,50,7,27
2022-08-22,Liberty Island,113,0,0,0,0,31
2022-08-23,Franks Tract,103,0,0,32,6,25
2022-08-23,Mildred Island,24,0,0,0,0,18
2022-08-23,Clifton Court Forebay,22,0,6,54,4,23
2022-08-23,Liberty Island,110,0,0,0,0,34
2022-08-26,Franks Tract,99,0,2,35,0,30
2022-08-26,Mildred Island,25,0,0,0,0,17
2022-08-26,Clifton Court Forebay,32,0,15,37,1,24
2022-08-26,Liberty Island,114,0,0,0,0,30
2022-08-27,Franks Tract,112,0,2,20,0,32
2022-08-27,Mildred Island,21,0,0,0,0,21
2022-08-27,Clifton Court Forebay,44,1,5,32,0,27
2022-08-27,Liberty Island,119,0,0,0,0,25
2022-08-31,Franks Tract,118,0,0,1,0,47
2022-08-31,Mildred Island,19,0,0,0,0,23
2022-08-31,Clifton Court Forebay,75,0,3,2,0,29
2022-08-31,Liberty Island,110,0,0,0,0,34
2022-09-03,Franks Tract,133,0,0,1,0,32
2022-09-03,Mildred Island,24,0,1,0,0,17
2022-09-03,Clifton Court Forebay,82,0,1,1,0,25
2022-09-03,Liberty Island,112,0,0,0,0,32
2022-09-04,Franks Tract,111,0,0,3,0,52
2022-09-04,Mildred Island,16,0,0,0,0,26
2022-09-04,Clifton Court Forebay,66,0,1,1,0,41
2022-09-04,Liberty Island,109,0,0,0,0,35
2022-09-07,Franks Tract,118,0,0,0,0,48
2022-09-07,Mildred Island,19,0,0,0,0,23
2022-09-07,Clifton Court Forebay,77,0,0,0,0,32
2022-09-07,Liberty Island,108,0,0,0,0,36
2022-09-08,Franks Tract,93,0,0,0,0,73
2022-09-08,Clifton Court Forebay,80,0,0,0,0,29
2022-09-08,Liberty Island,101,0,0,0,0,43
2022-09-14,Liberty Island,111,0,2,1,0,30
2022-09-15,Franks Tract,90,0,0,0,0,76
2022-09-15,Clifton Court Forebay,71,0,0,0,0,38
2022-09-15,Liberty Island,85,0,0,3,0,56
2022-09-16,Franks Tract,63,0,0,2,0,101
2022-09-16,Clifton Court Forebay,76,0,0,0,0,33
2022-09-18,Franks Tract,46,0,0,2,0,118
2022-09-18,Clifton Court Forebay,84,0,0,0,0,25
2022-09-18,Liberty Island,87,0,1,1,0,55
2022-09-19,Clifton Court Forebay,32,0,0,0,0,77
2022-09-20,Franks Tract,44,0,0,0,0,122
2022-09-20,Clifton Court Forebay,70,0,0,0,0,39
2022-09-22,Franks Tract,119,0,2,1,0,44
2022-09-22,Mildred Island,25,0,0,0,0,17
2022-09-22,Clifton Court Forebay,84,0,0,0,0,25
2022-09-22,Liberty Island,109,0,0,0,0,35
2022-09-23,Franks Tract,124,0,0,1,0,41
2022-09-23,Mildred Island,19,0,0,0,0,23
2022-09-23,Clifton Court Forebay,78,0,0,0,0,31
2022-09-23,Liberty Island,103,0,0,0,0,41
2022-09-26,Franks Tract,128,0,1,1,0,36
2022-09-26,Mildred Island,22,0,0,0,0,20
2022-09-26,Clifton Court Forebay,85,0,0,0,0,24
2022-09-26,Liberty Island,110,0,0,0,0,34
2022-09-27,Franks Tract,108,0,1,6,0,51
2022-09-27,Mildred Island,16,0,0,0,0,26
2022-09-27,Clifton Court Forebay,81,0,0,0,0,28
2022-09-27,Liberty Island,112,0,0,0,0,32
2022-09-30,Franks Tract,117,0,3,5,0,41
2022-09-30,Mildred Island,23,0,0,0,0,19
2022-09-30,Clifton Court Forebay,83,0,0,0,0,26
2022-09-30,Liberty Island,109,0,0,0,0,35
2022-10-01,Franks Tract,100,0,1,2,0,63
2022-10-01,Mildred Island,14,0,0,0,0,28
2022-10-01,Clifton Court Forebay,79,0,0,0,0,30
2022-10-01,Liberty Island,94,0,0,0,0,50
2022-10-04,Franks Tract,115,0,3,5,0,43
2022-10-04,Mildred Island,24,0,0,0,0,18
2022-10-04,Clifton Court Forebay,83,0,0,0,0,26
2022-10-04,Liberty Island,112,0,0,0,0,32
2022-10-05,Franks Tract,98,0,0,5,0,63
2022-10-05,Clifton Court Forebay,77,0,0,0,0,32
2022-10-05,Liberty Island,105,0,0,0,0,39
2022-10-09,Franks Tract,81,0,0,5,0,80
2022-10-09,Clifton Court Forebay,80,0,0,0,0,29
2022-10-09,Liberty Island,100,0,0,0,0,44
2022-10-11,Liberty Island,110,0,0,2,0,32
2022-10-12,Franks Tract,71,0,5,8,0,82
2022-10-12,Mildred Island,18,0,0,0,0,24
2022-10-12,Clifton Court Forebay,82,0,0,0,0,27
2022-10-12,Liberty Island,100,0,0,0,0,44
2022-10-13,Franks Tract,56,0,0,0,0,110
2022-10-13,Clifton Court Forebay,65,0,1,0,0,43
2022-10-13,Liberty Island,62,0,0,2,0,80
2022-10-15,Franks Tract,83,1,6,3,0,73
2022-10-15,Mildred Island,20,0,0,0,0,22
2022-10-15,Clifton Court Forebay,84,0,0,0,0,25
2022-10-15,Liberty Island,91,1,1,1,0,50
2022-10-16,Clifton Court Forebay,51,0,0,0,0,58
2022-10-17,Franks Tract,47,0,2,4,0,113
2022-10-17,Mildred Island,11,0,0,0,0,31
2022-10-17,Clifton Court Forebay,74,0,0,0,0,35
2022-10-17,Liberty Island,47,0,2,7,0,88
2022-10-19,Franks Tract,106,0,4,4,0,52
2022-10-19,Mildred Island,20,0,0,0,0,22
2022-10-19,Clifton Court Forebay,84,0,0,0,0,25
2022-10-19,Liberty Island,109,0,0,0,0,35
2022-10-20,Franks Tract,102,0,0,8,0,56
2022-10-20,Mildred Island,16,0,0,1,0,25
2022-10-20,Clifton Court Forebay,82,1,1,0,0,25
2022-10-20,Liberty Island,107,0,0,0,0,37
2022-10-23,Franks Tract,85,2,13,22,0,44
2022-10-23,Mildred Island,19,0,0,0,0,23
2022-10-23,Clifton Court Forebay,89,0,0,0,0,20
2022-10-23,Liberty Island,106,0,1,6,0,31
2022-10-24,Franks Tract,112,0,3,4,0,47
2022-10-24,Mildred Island,18,0,0,0,0,24
2022-10-24,Clifton Court Forebay,90,0,0,0,0,19
2022-10-24,Liberty Island,110,0,0,0,0,34
2022-10-27,Franks Tract,111,0,4,2,0,49
2022-10-27,Mildred Island,25,0,0,0,0,17
2022-10-27,Clifton Court Forebay,87,0,0,0,0,22
2022-10-27,Liberty Island,111,0,0,1,0,32
2022-10-28,Clifton Court Forebay,33,0,0,0,0,76
2022-10-28,Liberty Island,46,0,4,5,0,89
2022-11-07,Liberty Island,55,0,0,6,0,83
2022-11-09,Clifton Court Forebay,83,0,0,0,0,26
2022-11-09,Liberty Island,79,0,0,8,0,57
2022-11-12,Franks Tract,99,0,2,0,0,65
2022-11-12,Mildred Island,19,0,0,0,0,23
2022-11-12,Clifton Court Forebay,63,0,0,0,0,46
2022-11-13,Franks Tract,90,0,0,0,0,76
2022-11-13,Clifton Court Forebay,75,3,0,0,0,31
2022-11-13,Liberty Island,72,3,4,4,0,61
2022-11-15,Franks Tract,123,0,0,0,0,43
2022-11-15,Mildred Island,20,0,0,0,0,22
2022-11-15,Clifton Court Forebay,90,1,0,0,0,18
2022-11-15,Liberty Island,105,0,0,0,0,39
2022-11-16,Franks Tract,117,0,0,0,0,49
2022-11-16,Mildred Island,19,0,0,0,0,23
2022-11-16,Clifton Court Forebay,88,0,0,0,0,21
2022-11-16,Liberty Island,99,0,3,0,0,42
2022-11-19,Franks Tract,113,2,1,0,0,50
2022-11-19,Mildred Island,18,0,0,0,0,24
2022-11-19,Clifton Court Forebay,87,0,1,0,0,21
2022-11-19,Liberty Island,111,0,1,1,0,31
2022-11-20,Franks Tract,110,0,3,1,0,52
2022-11-20,Mildred Island,16,0,0,1,0,25
2022-11-20,Clifton Court Forebay,80,0,0,0,0,29
2022-11-20,Liberty Island,103,1,0,3,0,37
2022-11-23,Franks Tract,122,0,0,0,0,44
2022-11-23,Mildred Island,21,0,0,0,0,21
2022-11-23,Clifton Court Forebay,86,0,0,0,0,23
2022-11-24,Franks Tract,94,0,0,1,0,71
2022-11-24,Mildred Island,16,0,0,0,0,26
2022-11-24,Clifton Court Forebay,80,0,1,0,0,28
2022-11-24,Liberty Island,92,0,6,3,0,43
2022-11-27,Franks Tract,90,0,1,0,0,75
2022-11-27,Mildred Island,19,0,0,0,0,23
2022-11-27,Clifton Court Forebay,66,0,1,0,0,42
2022-11-27,Liberty Island,71,1,4,1,0,67
2022-11-28,Franks Tract,58,0,0,0,0,108
2022-11-28,Clifton Court Forebay,81,0,0,0,0,28
2022-11-28,Liberty Island,52,0,0,0,0,92
